"","monthly.transaction.amount"
"2016-09-01",19981.47
"2016-10-01",16705.81
"2016-11-01",14795.83
"2016-12-01",15205.83
"2017-01-01",13120.04
"2017-02-01",11416.08
"2017-03-01",10887.86
"2017-04-01",17335.85
"2017-05-01",28553.65
"2017-06-01",17267.72
"2017-07-01",4397.29
"2017-08-01",19922.5
"2017-09-01",22248.71
"2017-10-01",16485.8
"2017-11-01",17815.95
"2017-12-01",12926.46
"2018-01-01",10907.56
"2018-02-01",14266.37
"2018-03-01",16416.46
"2018-04-01",27725.2
"2018-05-01",28518.1
"2018-06-01",17927.81
"2018-07-01",9950.9
"2018-08-01",0
